			0	NULL
;	;		1	NULL
)	)		1	NULL
:	:		1	NULL
,	,		1	NULL
.	.		1	NULL
▁	▁		1	NULL
>	>		1	NULL
"	"		1	NULL
]	]		1	NULL
{	{		1	NULL
}	}		1	NULL
(	(		1	NULL
?	?		1	NULL
'	'		1	NULL
`	`		1	NULL
!	!		1	NULL
。	。		1	NULL
/	/		1	NULL
%	%		1	NULL
[	[		1	NULL
\	\		1	NULL
|	|		1	NULL
：	：		1	NULL
_	_		1	NULL
）	）		1	NULL
$	$		1	NULL
#	#		1	NULL
*	*		1	NULL
-	-		1	NULL
+	+		1	NULL
=	=		1	NULL
”	”		1	NULL
，	，		1	NULL
？	？		1	NULL
；	；		1	NULL
e	e		1	english
t	t		1	english
i	i		1	english
a	a		1	english
n	n		1	english
r	r		1	english
o	o		1	english
s	s		1	english
l	l		1	english
d	d		1	english
c	c		1	english
u	u		1	english
p	p		1	english
m	m		1	english
h	h		1	english
f	f		1	english
g	g		1	english
y	y		1	spanish
b	b		1	english
w	w		1	english
v	v		1	english
k	k		1	english
x	x		1	english
T	T		1	english
S	S		1	english
0	0		1	digits
I	I		1	english
1	1		1	digits
C	C		1	english
A	A		1	english
E	E		1	english
R	R		1	english
2	2		1	digits
P	P		1	english
D	D		1	english
<	<		1	NULL
L	L		1	english
N	N		1	english
M	M		1	english
j	j		1	english
F	F		1	english
O	O		1	portuguese
q	q		1	english
B	B		1	english
3	3		1	digits
z	z		1	english
U	U		1	english
G	G		1	english
5	5		1	digits
H	H		1	english
4	4		1	digits
V	V		1	english
W	W		1	english
6	6		1	digits
8	8		1	digits
9	9		1	digits
7	7		1	digits
Q	Q		1	english
@	@		1	NULL
&	&		1	NULL
Y	Y		1	turkish
K	K		1	english
X	X		1	english
J	J		1	english
о	о		1	russian
е	е		1	russian
а	а		1	russian
и	и		1	russian
т	т		1	russian
^	^		1	NULL
н	н		1	russian
Z	Z		1	english
с	с		1	russian
的	的	的	1	chinese
р	р		1	russian
в	в		1	russian
л	л		1	russian
﻿	﻿		1	NULL
к	к		1	russian
м	м		1	russian
д	д		1	russian
数	数	数	1	chinese
~	~		1	NULL
п	п		1	russian
у	у		1	russian
个	个	个	1	chinese
я	я		1	russian
一	一	一	1	chinese
ь	ь		1	russian
з	з		1	russian
ы	ы		1	russian
用	用	用	1	chinese
é	é		1	NULL
б	б		1	russian
ч	ч		1	russian
是	是	是	1	chinese
为	为	为	1	chinese
á	á		1	NULL
й	й		1	russian
字	字	字	1	chinese
г	г		1	russian
ã	ã		1	NULL
中	中	中	1	chinese
表	表	表	1	chinese
の	の		1	japanese
ç	ç		1	NULL
有	有	有	1	chinese
ó	ó		1	NULL
ж	ж		1	russian
’	’		1	NULL
果	果	果	1	chinese
이	이		1	korean
入	入	入	1	chinese
取	取	取	1	chinese
列	列	列	1	chinese
不	不	不	1	chinese
在	在	在	1	chinese
出	出	出	1	chinese
行	行	行	1	chinese
以	以	以	1	chinese
到	到	到	1	chinese
文	文	文	1	chinese
다	다		1	korean
码	码	码	1	chinese
和	和	和	1	chinese
定	定	定	1	chinese
据	据	据	1	chinese
如	如	如	1	chinese
时	时	时	1	chinese
件	件	件	1	chinese
对	对	对	1	chinese
值	值	值	1	chinese
点	点	点	1	chinese
“	“		1	NULL
を	を		1	japanese
�	�		1	NULL
可	可	可	1	chinese
х	х		1	russian
于	于	于	1	chinese
最	最	最	1	chinese
를	를		1	korean
回	回	回	1	chinese
í	í		1	NULL
代	代	代	1	chinese
ю	ю		1	russian
输	输	输	1	chinese
这	这	这	1	chinese
方	方	方	1	chinese
分	分	分	1	chinese
수	수		1	korean
る	る		1	japanese
、	、		1	NULL
ц	ц		1	russian
类	类	类	1	chinese
置	置	置	1	chinese
成	成	成	1	chinese
后	后	后	1	chinese
法	法	法	1	chinese
는	는		1	korean
す	す		1	japanese
前	前	前	1	chinese
符	符	符	1	chinese
要	要	要	1	chinese
い	い		1	japanese
의	의		1	korean
名	名	名	1	chinese
将	将	将	1	chinese
下	下	下	1	chinese
大	大	大	1	chinese
加	加	加	1	chinese
使	使	使	1	chinese
을	을		1	korean
█	█		1	NULL
하	하		1	korean
로	로		1	korean
返	返	返	1	chinese
间	间	间	1	chinese
度	度	度	1	chinese
存	存	存	1	chinese
し	し		1	japanese
─	─		1	NULL
で	で		1	japanese
接	接	接	1	chinese
ш	ш		1	russian
所	所	所	1	chinese
元	元	元	1	chinese
に	に		1	japanese
获	获	获	1	chinese
函	函	函	1	chinese
가	가		1	korean
序	序	序	1	chinese
了	了	了	1	chinese
示	示	示	1	chinese
建	建	建	1	chinese
组	组	组	1	chinese
ー	ー		1	japanese
小	小	小	1	chinese
ф	ф		1	russian
에	에		1	korean
素	素	素	1	chinese
上	上	上	1	chinese
结	结	结	1	chinese
